filename,umap_x,umap_y,sub_cluster_id
NCI Images/breast/bt549/nybd1/NYBD1-A10_250nM_BT549_site1_FITC_Day1.png,-2.7613215,1.9644097,1
NCI Images/breast/bt549/nybd1/NYBD1-A10_250nM_BT549_site1_FITC_Day0.png,-4.7396884,5.924687,1
NCI Images/breast/bt549/nybd1/NYBD1-A10_250nM_BT549_site1_FITC_Day2.png,0.42811617,-2.7474253,1
NCI Images/breast/bt549/nybd1/NYBD1-A10_250nM_BT549_site1_TRITC_Day0.png,-4.4697056,5.7737026,1
NCI Images/breast/bt549/nybd1/NYBD1-A10_250nM_BT549_site1_TRITC_Day1.png,-2.5173354,1.8472596,1
NCI Images/breast/bt549/nybd1/NYBD1-A10_250nM_BT549_site1_TRITC_Day2.png,1.2492399,-2.2400112,1
NCI Images/breast/bt549/nybd1/NYBD1-A10_250nM_BT549_site2_FITC_Day0.png,-5.1217723,6.9317865,1
NCI Images/breast/bt549/nybd1/NYBD1-A10_250nM_BT549_site2_FITC_Day1.png,-1.9946414,1.503213,1
NCI Images/breast/bt549/nybd1/NYBD1-A10_250nM_BT549_site2_FITC_Day2.png,-5.6487956,3.8259497,1
NCI Images/breast/bt549/nybd1/NYBD1-A10_250nM_BT549_site2_TRITC_Day0.png,-4.9625664,7.0048423,1
NCI Images/breast/bt549/nybd1/NYBD1-A10_250nM_BT549_site2_TRITC_Day1.png,-1.840747,1.6565379,1
NCI Images/breast/bt549/nybd1/NYBD1-A10_250nM_BT549_site2_TRITC_Day2.png,-5.6751637,3.7703032,1
NCI Images/breast/bt549/nybd1/NYBD1-A10_250nM_BT549_site3_FITC_Day0.png,-4.8699193,5.3663116,1
NCI Images/breast/bt549/nybd1/NYBD1-A10_250nM_BT549_site3_FITC_Day1.png,-1.055467,-0.6720086,1
NCI Images/breast/bt549/nybd1/NYBD1-A10_250nM_BT549_site3_FITC_Day2.png,-0.38245574,-1.8489882,1
NCI Images/breast/bt549/nybd1/NYBD1-A10_250nM_BT549_site3_TRITC_Day0.png,-4.716839,5.167446,1
NCI Images/breast/bt549/nybd1/NYBD1-A10_250nM_BT549_site3_TRITC_Day1.png,-0.8324162,-0.5552153,1
NCI Images/breast/bt549/nybd1/NYBD1-A10_250nM_BT549_site3_TRITC_Day2.png,0.034218132,-1.7744058,1
NCI Images/breast/bt549/nybd1/NYBD1-A10_250nM_BT549_site4_FITC_Day0.png,-3.8800652,3.1096632,1
NCI Images/breast/bt549/nybd1/NYBD1-A10_250nM_BT549_site4_FITC_Day1.png,-1.3632586,-0.7173899,1
NCI Images/breast/bt549/nybd1/NYBD1-A10_250nM_BT549_site4_FITC_Day2.png,-4.320145,0.47638053,1
NCI Images/breast/bt549/nybd1/NYBD1-A10_250nM_BT549_site4_TRITC_Day0.png,-3.8708053,3.812023,1
NCI Images/breast/bt549/nybd1/NYBD1-A10_250nM_BT549_site4_TRITC_Day1.png,-1.475248,-0.44455245,1
NCI Images/breast/bt549/nybd1/NYBD1-A10_250nM_BT549_site4_TRITC_Day2.png,-4.2164397,0.4322707,1
NCI Images/breast/bt549/nybd1/NYBD1-A10_500nM_BT549_site1_FITC_Day0.png,-1.9779456,0.55418015,1
NCI Images/breast/bt549/nybd1/NYBD1-A10_500nM_BT549_site1_FITC_Day1.png,-4.7833896,5.786507,1
NCI Images/breast/bt549/nybd1/NYBD1-A10_500nM_BT549_site1_FITC_Day2.png,0.3820915,-2.7828746,1
NCI Images/breast/bt549/nybd1/NYBD1-A10_500nM_BT549_site1_TRITC_Day0.png,-1.9760028,0.7710797,1
NCI Images/breast/bt549/nybd1/NYBD1-A10_500nM_BT549_site1_TRITC_Day1.png,-4.72842,5.749826,1
NCI Images/breast/bt549/nybd1/NYBD1-A10_500nM_BT549_site1_TRITC_Day2.png,-1.0104629,-2.2680817,1
NCI Images/breast/bt549/nybd1/NYBD1-A10_500nM_BT549_site2_FITC_Day0.png,-5.483488,6.3148637,1
NCI Images/breast/bt549/nybd1/NYBD1-A10_500nM_BT549_site2_FITC_Day1.png,-1.2525791,-0.9045441,1
NCI Images/breast/bt549/nybd1/NYBD1-A10_500nM_BT549_site2_FITC_Day2.png,-0.5462014,-2.5385764,1
NCI Images/breast/bt549/nybd1/NYBD1-A10_500nM_BT549_site2_TRITC_Day0.png,-5.626131,7.7182755,1
NCI Images/breast/bt549/nybd1/NYBD1-A10_500nM_BT549_site2_TRITC_Day1.png,-1.3374827,-0.8389418,1
NCI Images/breast/bt549/nybd1/NYBD1-A10_500nM_BT549_site2_TRITC_Day2.png,-0.6924542,-2.4125435,1
NCI Images/breast/bt549/nybd1/NYBD1-A10_500nM_BT549_site3_FITC_Day0.png,-2.0237825,1.1620365,1
NCI Images/breast/bt549/nybd1/NYBD1-A10_500nM_BT549_site3_FITC_Day1.png,0.23063208,-1.547437,1
NCI Images/breast/bt549/nybd1/NYBD1-A10_500nM_BT549_site3_FITC_Day2.png,0.2884628,-2.415036,1
NCI Images/breast/bt549/nybd1/NYBD1-A10_500nM_BT549_site3_TRITC_Day0.png,-1.9518285,1.316094,1
NCI Images/breast/bt549/nybd1/NYBD1-A10_500nM_BT549_site3_TRITC_Day1.png,0.075284086,-1.2918316,1
NCI Images/breast/bt549/nybd1/NYBD1-A10_500nM_BT549_site3_TRITC_Day2.png,0.18508126,-2.3843408,1
NCI Images/breast/bt549/nybd1/NYBD1-A10_500nM_BT549_site4_FITC_Day0.png,-3.7627597,1.4086583,1
NCI Images/breast/bt549/nybd1/NYBD1-A10_500nM_BT549_site4_FITC_Day1.png,-0.43895984,-0.42445096,1
NCI Images/breast/bt549/nybd1/NYBD1-A10_500nM_BT549_site4_FITC_Day2.png,-0.8634379,-1.4695338,1
NCI Images/breast/bt549/nybd1/NYBD1-A10_500nM_BT549_site4_TRITC_Day0.png,-4.271038,2.1635196,1
NCI Images/breast/bt549/nybd1/NYBD1-A10_500nM_BT549_site4_TRITC_Day1.png,-0.47021374,-0.40197843,1
NCI Images/breast/bt549/nybd1/NYBD1-A10_500nM_BT549_site4_TRITC_Day2.png,-1.0269068,-1.1250526,1
NCI Images/breast/bt549/nybd1/NYBD1-A11_250nM_BT549_site1_FITC_Day0.png,-1.9746859,2.3517368,1
