filename,umap_x,umap_y,cluster_id
NCI Images/breast/bt549/nybd1/NYBD1-A10_250nM_BT549_site1_FITC_Day1.png,-5.735919,-2.9629726,1
NCI Images/breast/bt549/nybd1/NYBD1-A10_250nM_BT549_site1_FITC_Day0.png,-2.9492698,-5.5168962,1
NCI Images/breast/bt549/nybd1/NYBD1-A10_250nM_BT549_site1_FITC_Day2.png,-9.044817,1.0629385,1
NCI Images/breast/bt549/nybd1/NYBD1-A10_250nM_BT549_site1_Hoechst.png,14.815135,0.94070625,0
NCI Images/breast/bt549/nybd1/NYBD1-A10_250nM_BT549_site1_TRITC_Day0.png,-2.952779,-5.2460146,1
NCI Images/breast/bt549/nybd1/NYBD1-A10_250nM_BT549_site1_TRITC_Day1.png,-5.760215,-2.7075894,1
NCI Images/breast/bt549/nybd1/NYBD1-A10_250nM_BT549_site1_TRITC_Day2.png,-8.63917,1.8136597,1
NCI Images/breast/bt549/nybd1/NYBD1-A10_250nM_BT549_site2_FITC_Day0.png,-2.2382925,-6.257373,1
NCI Images/breast/bt549/nybd1/NYBD1-A10_250nM_BT549_site2_FITC_Day1.png,-5.889573,-2.2840807,1
NCI Images/breast/bt549/nybd1/NYBD1-A10_250nM_BT549_site2_FITC_Day2.png,-5.017481,-5.801572,1
NCI Images/breast/bt549/nybd1/NYBD1-A10_250nM_BT549_site2_Hoechst.png,14.12749,-0.77058226,0
NCI Images/breast/bt549/nybd1/NYBD1-A10_250nM_BT549_site2_TRITC_Day0.png,-2.1184528,-6.071762,1
NCI Images/breast/bt549/nybd1/NYBD1-A10_250nM_BT549_site2_TRITC_Day1.png,-5.745073,-2.113221,1
NCI Images/breast/bt549/nybd1/NYBD1-A10_250nM_BT549_site2_TRITC_Day2.png,-5.161734,-5.7251124,1
NCI Images/breast/bt549/nybd1/NYBD1-A10_250nM_BT549_site3_FITC_Day0.png,-3.4636087,-5.5952487,1
NCI Images/breast/bt549/nybd1/NYBD1-A10_250nM_BT549_site3_FITC_Day1.png,-7.5807543,-0.7193522,1
NCI Images/breast/bt549/nybd1/NYBD1-A10_250nM_BT549_site3_FITC_Day2.png,-8.429902,0.19676584,1
NCI Images/breast/bt549/nybd1/NYBD1-A10_250nM_BT549_site3_Hoechst.png,16.677427,6.0706964,0
NCI Images/breast/bt549/nybd1/NYBD1-A10_250nM_BT549_site3_TRITC_Day0.png,-3.5689723,-5.4487643,1
NCI Images/breast/bt549/nybd1/NYBD1-A10_250nM_BT549_site3_TRITC_Day1.png,-7.5062037,-0.55461866,1
NCI Images/breast/bt549/nybd1/NYBD1-A10_250nM_BT549_site3_TRITC_Day2.png,-8.24676,0.47993064,1
NCI Images/breast/bt549/nybd1/NYBD1-A10_250nM_BT549_site4_FITC_Day0.png,-4.9100103,-4.2306275,1
NCI Images/breast/bt549/nybd1/NYBD1-A10_250nM_BT549_site4_FITC_Day1.png,-7.6607223,-1.1532362,1
NCI Images/breast/bt549/nybd1/NYBD1-A10_250nM_BT549_site4_FITC_Day2.png,-7.303362,-3.8386118,1
NCI Images/breast/bt549/nybd1/NYBD1-A10_250nM_BT549_site4_Hoechst.png,16.57145,6.189529,0
NCI Images/breast/bt549/nybd1/NYBD1-A10_250nM_BT549_site4_TRITC_Day0.png,-4.4383683,-4.3741217,1
NCI Images/breast/bt549/nybd1/NYBD1-A10_250nM_BT549_site4_TRITC_Day1.png,-7.6052666,-1.340937,1
NCI Images/breast/bt549/nybd1/NYBD1-A10_250nM_BT549_site4_TRITC_Day2.png,-7.352868,-3.7521317,1
NCI Images/breast/bt549/nybd1/NYBD1-A10_500nM_BT549_site1_FITC_Day0.png,-6.9162216,-1.753501,1
NCI Images/breast/bt549/nybd1/NYBD1-A10_500nM_BT549_site1_FITC_Day1.png,-3.1439335,-5.595808,1
NCI Images/breast/bt549/nybd1/NYBD1-A10_500nM_BT549_site1_FITC_Day2.png,-9.0545,0.97890514,1
NCI Images/breast/bt549/nybd1/NYBD1-A10_500nM_BT549_site1_Hoechst.png,15.920301,3.3501585,0
NCI Images/breast/bt549/nybd1/NYBD1-A10_500nM_BT549_site1_TRITC_Day0.png,-6.716735,-1.9284495,1
NCI Images/breast/bt549/nybd1/NYBD1-A10_500nM_BT549_site1_TRITC_Day1.png,-3.033161,-5.6107597,1
NCI Images/breast/bt549/nybd1/NYBD1-A10_500nM_BT549_site1_TRITC_Day2.png,-8.8939495,-0.36075762,1
NCI Images/breast/bt549/nybd1/NYBD1-A10_500nM_BT549_site2_FITC_Day0.png,-2.7689524,-6.3498673,1
NCI Images/breast/bt549/nybd1/NYBD1-A10_500nM_BT549_site2_FITC_Day1.png,-7.8785872,-0.8875003,1
NCI Images/breast/bt549/nybd1/NYBD1-A10_500nM_BT549_site2_FITC_Day2.png,-9.030926,0.09462162,1
NCI Images/breast/bt549/nybd1/NYBD1-A10_500nM_BT549_site2_Hoechst.png,14.540118,-0.056325365,0
NCI Images/breast/bt549/nybd1/NYBD1-A10_500nM_BT549_site2_TRITC_Day0.png,-1.7287375,-6.854341,1
NCI Images/breast/bt549/nybd1/NYBD1-A10_500nM_BT549_site2_TRITC_Day1.png,-7.8811336,-0.9776949,1
NCI Images/breast/bt549/nybd1/NYBD1-A10_500nM_BT549_site2_TRITC_Day2.png,-8.963373,-0.07812043,1
NCI Images/breast/bt549/nybd1/NYBD1-A10_500nM_BT549_site3_FITC_Day0.png,-6.2629066,-2.271014,1
NCI Images/breast/bt549/nybd1/NYBD1-A10_500nM_BT549_site3_FITC_Day1.png,-8.033093,0.45024845,1
NCI Images/breast/bt549/nybd1/NYBD1-A10_500nM_BT549_site3_FITC_Day2.png,-8.736167,0.8119861,1
NCI Images/breast/bt549/nybd1/NYBD1-A10_500nM_BT549_site3_Hoechst.png,16.092173,3.627695,0
NCI Images/breast/bt549/nybd1/NYBD1-A10_500nM_BT549_site3_TRITC_Day0.png,-6.1514287,-2.093058,1
NCI Images/breast/bt549/nybd1/NYBD1-A10_500nM_BT549_site3_TRITC_Day1.png,-7.897492,0.30217734,1
NCI Images/breast/bt549/nybd1/NYBD1-A10_500nM_BT549_site3_TRITC_Day2.png,-8.710217,0.77021545,1
NCI Images/breast/bt549/nybd1/NYBD1-A10_500nM_BT549_site4_FITC_Day0.png,-6.425986,-3.6352313,1
NCI Images/breast/bt549/nybd1/NYBD1-A10_500nM_BT549_site4_FITC_Day1.png,-7.3006434,-0.32015884,1
NCI Images/breast/bt549/nybd1/NYBD1-A10_500nM_BT549_site4_FITC_Day2.png,-8.269359,-0.3938674,1
NCI Images/breast/bt549/nybd1/NYBD1-A10_500nM_BT549_site4_Hoechst.png,16.605803,6.149962,0
NCI Images/breast/bt549/nybd1/NYBD1-A10_500nM_BT549_site4_TRITC_Day0.png,-6.0073423,-4.241401,1
NCI Images/breast/bt549/nybd1/NYBD1-A10_500nM_BT549_site4_TRITC_Day1.png,-7.3046107,-0.3814209,1
NCI Images/breast/bt549/nybd1/NYBD1-A10_500nM_BT549_site4_TRITC_Day2.png,-8.043115,-0.6422425,1
NCI Images/breast/bt549/nybd1/NYBD1-A11_250nM_BT549_site1_FITC_Day0.png,-5.1737747,-2.4879224,1
NCI Images/breast/bt549/nybd1/NYBD1-A11_250nM_BT549_site1_FITC_Day1.png,-5.1301055,-3.7168295,1
NCI Images/breast/bt549/nybd1/NYBD1-A11_250nM_BT549_site1_FITC_Day2.png,-6.5100155,3.2426825,1
NCI Images/breast/bt549/nybd1/NYBD1-A11_250nM_BT549_site1_Hoechst.png,15.732842,3.0214663,0
NCI Images/breast/bt549/nybd1/NYBD1-A11_250nM_BT549_site1_TRITC_Day0.png,-3.686772,6.996006,1
NCI Images/breast/bt549/nybd1/NYBD1-A11_250nM_BT549_site1_TRITC_Day1.png,-4.2412124,7.09045,1
NCI Images/breast/bt549/nybd1/NYBD1-A11_250nM_BT549_site1_TRITC_Day2.png,-2.928172,7.8661504,1
NCI Images/breast/bt549/nybd1/NYBD1-A11_250nM_BT549_site2_FITC_Day0.png,-5.2473264,4.353442,1
NCI Images/breast/bt549/nybd1/NYBD1-A11_250nM_BT549_site2_FITC_Day1.png,-4.3131676,-4.0731525,1
NCI Images/breast/bt549/nybd1/NYBD1-A11_250nM_BT549_site2_FITC_Day2.png,-7.033562,3.705692,1
NCI Images/breast/bt549/nybd1/NYBD1-A11_250nM_BT549_site2_Hoechst.png,15.022516,1.7641798,0
NCI Images/breast/bt549/nybd1/NYBD1-A11_250nM_BT549_site2_TRITC_Day0.png,-3.5229633,7.9194703,1
NCI Images/breast/bt549/nybd1/NYBD1-A11_250nM_BT549_site2_TRITC_Day1.png,-4.643594,5.003117,1
NCI Images/breast/bt549/nybd1/NYBD1-A11_250nM_BT549_site2_TRITC_Day2.png,-3.3936749,6.6745386,1
NCI Images/breast/bt549/nybd1/NYBD1-A11_250nM_BT549_site3_FITC_Day0.png,-4.982577,3.096329,1
NCI Images/breast/bt549/nybd1/NYBD1-A11_250nM_BT549_site3_FITC_Day1.png,-7.0760946,2.1139839,1
NCI Images/breast/bt549/nybd1/NYBD1-A11_250nM_BT549_site3_FITC_Day2.png,-5.916857,5.1322064,1
NCI Images/breast/bt549/nybd1/NYBD1-A11_250nM_BT549_site3_Hoechst.png,16.637392,4.630055,0
NCI Images/breast/bt549/nybd1/NYBD1-A11_250nM_BT549_site3_TRITC_Day0.png,-3.3369865,8.078195,1
NCI Images/breast/bt549/nybd1/NYBD1-A11_250nM_BT549_site3_TRITC_Day1.png,-2.6123629,7.9986415,1
NCI Images/breast/bt549/nybd1/NYBD1-A11_250nM_BT549_site3_TRITC_Day2.png,-3.3161678,6.846186,1
NCI Images/breast/bt549/nybd1/NYBD1-A11_250nM_BT549_site4_FITC_Day1.png,-5.2756724,3.777169,1
NCI Images/breast/bt549/nybd1/NYBD1-A11_250nM_BT549_site4_FITC_Day0.png,-5.1225357,-2.8315227,1
NCI Images/breast/bt549/nybd1/NYBD1-A11_250nM_BT549_site4_FITC_Day2.png,-6.956497,-2.5156803,1
NCI Images/breast/bt549/nybd1/NYBD1-A11_250nM_BT549_site4_Hoechst.png,16.582674,4.506958,0
NCI Images/breast/bt549/nybd1/NYBD1-A11_250nM_BT549_site4_TRITC_Day0.png,-4.405477,7.6813197,1
NCI Images/breast/bt549/nybd1/NYBD1-A11_250nM_BT549_site4_TRITC_Day1.png,-3.9216475,7.7900314,1
NCI Images/breast/bt549/nybd1/NYBD1-A11_250nM_BT549_site4_TRITC_Day2.png,-4.636928,5.5267277,1
NCI Images/breast/bt549/nybd1/NYBD1-A11_500nM_BT549_site1_FITC_Day0.png,-5.3350616,-3.2411618,1
NCI Images/breast/bt549/nybd1/NYBD1-A11_500nM_BT549_site1_FITC_Day1.png,-6.5839005,-0.8003468,1
NCI Images/breast/bt549/nybd1/NYBD1-A11_500nM_BT549_site1_FITC_Day2.png,-8.866407,1.3543032,1
NCI Images/breast/bt549/nybd1/NYBD1-A11_500nM_BT549_site1_Hoechst.png,15.575782,2.6613243,0
NCI Images/breast/bt549/nybd1/NYBD1-A11_500nM_BT549_site1_TRITC_Day0.png,-5.1910663,3.435981,1
NCI Images/breast/bt549/nybd1/NYBD1-A11_500nM_BT549_site1_TRITC_Day1.png,-4.658612,4.924768,1
NCI Images/breast/bt549/nybd1/NYBD1-A11_500nM_BT549_site1_TRITC_Day2.png,-5.9368343,5.257865,1
NCI Images/breast/bt549/nybd1/NYBD1-A11_500nM_BT549_site2_FITC_Day0.png,-5.105106,-2.7929506,1
NCI Images/breast/bt549/nybd1/NYBD1-A11_500nM_BT549_site2_FITC_Day1.png,-5.302958,-3.6983862,1
