filename,umap_x,umap_y,final_cluster_id
NCI Images/breast/bt549/nybd1/NYBD1-A10_250nM_BT549_site1_FITC_Day1.png,5.170238,-2.7914736,0
NCI Images/breast/bt549/nybd1/NYBD1-A10_250nM_BT549_site1_FITC_Day0.png,10.1818285,-2.8227708,0
NCI Images/breast/bt549/nybd1/NYBD1-A10_250nM_BT549_site1_FITC_Day2.png,-1.7438953,-3.06705,0
NCI Images/breast/bt549/nybd1/NYBD1-A10_250nM_BT549_site1_TRITC_Day0.png,9.88313,-2.5662434,0
NCI Images/breast/bt549/nybd1/NYBD1-A10_250nM_BT549_site1_TRITC_Day1.png,4.952599,-2.649555,0
NCI Images/breast/bt549/nybd1/NYBD1-A10_250nM_BT549_site1_TRITC_Day2.png,-2.178467,-2.124034,0
NCI Images/breast/bt549/nybd1/NYBD1-A10_250nM_BT549_site2_FITC_Day0.png,11.337436,-2.7842329,0
NCI Images/breast/bt549/nybd1/NYBD1-A10_250nM_BT549_site2_FITC_Day1.png,4.1759872,-2.3616238,0
NCI Images/breast/bt549/nybd1/NYBD1-A10_250nM_BT549_site2_FITC_Day2.png,8.44198,-4.8193026,0
NCI Images/breast/bt549/nybd1/NYBD1-A10_250nM_BT549_site2_TRITC_Day0.png,11.296425,-2.5748525,0
NCI Images/breast/bt549/nybd1/NYBD1-A10_250nM_BT549_site2_TRITC_Day1.png,4.228295,-2.1541789,0
NCI Images/breast/bt549/nybd1/NYBD1-A10_250nM_BT549_site2_TRITC_Day2.png,8.364091,-4.843667,0
NCI Images/breast/bt549/nybd1/NYBD1-A10_250nM_BT549_site3_FITC_Day0.png,9.642549,-3.2976542,0
NCI Images/breast/bt549/nybd1/NYBD1-A10_250nM_BT549_site3_FITC_Day1.png,1.2812439,-2.821268,0
NCI Images/breast/bt549/nybd1/NYBD1-A10_250nM_BT549_site3_FITC_Day2.png,-0.2860407,-2.914949,0
NCI Images/breast/bt549/nybd1/NYBD1-A10_250nM_BT549_site3_TRITC_Day0.png,9.373142,-3.2697268,0
NCI Images/breast/bt549/nybd1/NYBD1-A10_250nM_BT549_site3_TRITC_Day1.png,1.1899437,-2.5285397,0
NCI Images/breast/bt549/nybd1/NYBD1-A10_250nM_BT549_site3_TRITC_Day2.png,-0.58211005,-2.6356337,0
NCI Images/breast/bt549/nybd1/NYBD1-A10_250nM_BT549_site4_FITC_Day0.png,6.93467,-3.2116427,0
NCI Images/breast/bt549/nybd1/NYBD1-A10_250nM_BT549_site4_FITC_Day1.png,1.7096823,-3.1409922,0
NCI Images/breast/bt549/nybd1/NYBD1-A10_250nM_BT549_site4_FITC_Day2.png,4.4208546,-5.226964,0
NCI Images/breast/bt549/nybd1/NYBD1-A10_250nM_BT549_site4_TRITC_Day0.png,7.4645276,-2.9075313,0
NCI Images/breast/bt549/nybd1/NYBD1-A10_250nM_BT549_site4_TRITC_Day1.png,1.9096351,-3.1738706,0
NCI Images/breast/bt549/nybd1/NYBD1-A10_250nM_BT549_site4_TRITC_Day2.png,4.3187175,-5.1620636,0
NCI Images/breast/bt549/nybd1/NYBD1-A10_500nM_BT549_site1_FITC_Day0.png,3.2587936,-3.0015104,0
