file_path,mean_score
../data/png_converted/NCI Images/breast/bt549/nybd1/NYBD1-A10_250nM_BT549_site1_FITC_Day1.png,13.96
../data/png_converted/NCI Images/breast/bt549/nybd1/NYBD1-A10_250nM_BT549_site1_FITC_Day0.png,16.15
../data/png_converted/NCI Images/breast/bt549/nybd1/NYBD1-A10_250nM_BT549_site1_FITC_Day2.png,22.41
../data/png_converted/NCI Images/breast/bt549/nybd1/NYBD1-A10_250nM_BT549_site1_Hoechst.png,7.09
../data/png_converted/NCI Images/breast/bt549/nybd1/NYBD1-A10_250nM_BT549_site1_TRITC_Day0.png,27.54
../data/png_converted/NCI Images/breast/bt549/nybd1/NYBD1-A10_250nM_BT549_site1_TRITC_Day1.png,23.98
../data/png_converted/NCI Images/breast/bt549/nybd1/NYBD1-A10_250nM_BT549_site1_TRITC_Day2.png,32.96
../data/png_converted/NCI Images/breast/bt549/nybd1/NYBD1-A10_250nM_BT549_site2_FITC_Day0.png,13.8
../data/png_converted/NCI Images/breast/bt549/nybd1/NYBD1-A10_250nM_BT549_site2_FITC_Day1.png,17.52
../data/png_converted/NCI Images/breast/bt549/nybd1/NYBD1-A10_250nM_BT549_site2_FITC_Day2.png,11.19
../data/png_converted/NCI Images/breast/bt549/nybd1/NYBD1-A10_250nM_BT549_site2_Hoechst.png,5.94
../data/png_converted/NCI Images/breast/bt549/nybd1/NYBD1-A10_250nM_BT549_site2_TRITC_Day0.png,23.34
../data/png_converted/NCI Images/breast/bt549/nybd1/NYBD1-A10_250nM_BT549_site2_TRITC_Day1.png,30.09
../data/png_converted/NCI Images/breast/bt549/nybd1/NYBD1-A10_250nM_BT549_site2_TRITC_Day2.png,15.92
../data/png_converted/NCI Images/breast/bt549/nybd1/NYBD1-A10_250nM_BT549_site3_FITC_Day0.png,14.04
../data/png_converted/NCI Images/breast/bt549/nybd1/NYBD1-A10_250nM_BT549_site3_FITC_Day1.png,18.97
../data/png_converted/NCI Images/breast/bt549/nybd1/NYBD1-A10_250nM_BT549_site3_FITC_Day2.png,17.33
../data/png_converted/NCI Images/breast/bt549/nybd1/NYBD1-A10_250nM_BT549_site3_Hoechst.png,11.76
../data/png_converted/NCI Images/breast/bt549/nybd1/NYBD1-A10_250nM_BT549_site3_TRITC_Day0.png,22.9
../data/png_converted/NCI Images/breast/bt549/nybd1/NYBD1-A10_250nM_BT549_site3_TRITC_Day1.png,29.86
../data/png_converted/NCI Images/breast/bt549/nybd1/NYBD1-A10_250nM_BT549_site3_TRITC_Day2.png,27.49
../data/png_converted/NCI Images/breast/bt549/nybd1/NYBD1-A10_250nM_BT549_site4_FITC_Day0.png,10.91
../data/png_converted/NCI Images/breast/bt549/nybd1/NYBD1-A10_250nM_BT549_site4_FITC_Day1.png,19.48
../data/png_converted/NCI Images/breast/bt549/nybd1/NYBD1-A10_250nM_BT549_site4_FITC_Day2.png,14.3
../data/png_converted/NCI Images/breast/bt549/nybd1/NYBD1-A10_250nM_BT549_site4_Hoechst.png,12.62
../data/png_converted/NCI Images/breast/bt549/nybd1/NYBD1-A10_250nM_BT549_site4_TRITC_Day0.png,13.59
../data/png_converted/NCI Images/breast/bt549/nybd1/NYBD1-A10_250nM_BT549_site4_TRITC_Day1.png,24.91
../data/png_converted/NCI Images/breast/bt549/nybd1/NYBD1-A10_250nM_BT549_site4_TRITC_Day2.png,19.89
../data/png_converted/NCI Images/breast/bt549/nybd1/NYBD1-A10_500nM_BT549_site1_FITC_Day0.png,19.78
../data/png_converted/NCI Images/breast/bt549/nybd1/NYBD1-A10_500nM_BT549_site1_FITC_Day1.png,9.85
../data/png_converted/NCI Images/breast/bt549/nybd1/NYBD1-A10_500nM_BT549_site1_FITC_Day2.png,21.49
../data/png_converted/NCI Images/breast/bt549/nybd1/NYBD1-A10_500nM_BT549_site1_Hoechst.png,8.3
../data/png_converted/NCI Images/breast/bt549/nybd1/NYBD1-A10_500nM_BT549_site1_TRITC_Day0.png,25.15
../data/png_converted/NCI Images/breast/bt549/nybd1/NYBD1-A10_500nM_BT549_site1_TRITC_Day1.png,14.96
../data/png_converted/NCI Images/breast/bt549/nybd1/NYBD1-A10_500nM_BT549_site1_TRITC_Day2.png,21.76
../data/png_converted/NCI Images/breast/bt549/nybd1/NYBD1-A10_500nM_BT549_site2_FITC_Day0.png,8.41
