file_path,mean_score,bg_mean,sig_mean,sbr_score
../data/png_converted/NCI Images/breast/bt549/nybd1/NYBD1-A10_250nM_BT549_site1_FITC_Day1.png,13.96,9.0,50.0,5.556
../data/png_converted/NCI Images/breast/bt549/nybd1/NYBD1-A10_250nM_BT549_site1_FITC_Day0.png,16.15,14.0,34.0,2.429
../data/png_converted/NCI Images/breast/bt549/nybd1/NYBD1-A10_250nM_BT549_site1_FITC_Day2.png,22.41,16.0,62.0,3.875
../data/png_converted/NCI Images/breast/bt549/nybd1/NYBD1-A10_250nM_BT549_site1_TRITC_Day0.png,27.54,26.0,43.0,1.654
../data/png_converted/NCI Images/breast/bt549/nybd1/NYBD1-A10_250nM_BT549_site1_TRITC_Day1.png,23.98,20.0,56.0,2.8
../data/png_converted/NCI Images/breast/bt549/nybd1/NYBD1-A10_250nM_BT549_site1_TRITC_Day2.png,32.96,28.0,70.0,2.5
../data/png_converted/NCI Images/breast/bt549/nybd1/NYBD1-A10_250nM_BT549_site2_FITC_Day0.png,13.8,11.0,30.0,2.727
../data/png_converted/NCI Images/breast/bt549/nybd1/NYBD1-A10_250nM_BT549_site2_FITC_Day1.png,17.52,12.0,51.0,4.25
../data/png_converted/NCI Images/breast/bt549/nybd1/NYBD1-A10_250nM_BT549_site2_FITC_Day2.png,11.19,7.0,30.0,4.286
../data/png_converted/NCI Images/breast/bt549/nybd1/NYBD1-A10_250nM_BT549_site2_TRITC_Day0.png,23.34,22.0,37.0,1.682
../data/png_converted/NCI Images/breast/bt549/nybd1/NYBD1-A10_250nM_BT549_site2_TRITC_Day1.png,30.09,26.0,60.0,2.308
../data/png_converted/NCI Images/breast/bt549/nybd1/NYBD1-A10_250nM_BT549_site2_TRITC_Day2.png,15.92,13.0,35.0,2.692
../data/png_converted/NCI Images/breast/bt549/nybd1/NYBD1-A10_250nM_BT549_site3_FITC_Day0.png,14.04,10.0,42.0,4.2
../data/png_converted/NCI Images/breast/bt549/nybd1/NYBD1-A10_250nM_BT549_site3_FITC_Day1.png,18.97,11.0,62.0,5.636
../data/png_converted/NCI Images/breast/bt549/nybd1/NYBD1-A10_250nM_BT549_site3_FITC_Day2.png,17.33,11.0,51.0,4.636
../data/png_converted/NCI Images/breast/bt549/nybd1/NYBD1-A10_250nM_BT549_site3_TRITC_Day0.png,22.9,19.0,49.0,2.579
../data/png_converted/NCI Images/breast/bt549/nybd1/NYBD1-A10_250nM_BT549_site3_TRITC_Day1.png,29.86,23.0,71.0,3.087
../data/png_converted/NCI Images/breast/bt549/nybd1/NYBD1-A10_250nM_BT549_site3_TRITC_Day2.png,27.49,23.0,58.0,2.522
../data/png_converted/NCI Images/breast/bt549/nybd1/NYBD1-A10_250nM_BT549_site4_FITC_Day0.png,10.91,6.0,40.0,6.667
../data/png_converted/NCI Images/breast/bt549/nybd1/NYBD1-A10_250nM_BT549_site4_FITC_Day1.png,19.48,13.0,63.0,4.846
../data/png_converted/NCI Images/breast/bt549/nybd1/NYBD1-A10_250nM_BT549_site4_FITC_Day2.png,14.3,10.0,36.0,3.6
../data/png_converted/NCI Images/breast/bt549/nybd1/NYBD1-A10_250nM_BT549_site4_TRITC_Day0.png,13.59,9.0,39.0,4.333
../data/png_converted/NCI Images/breast/bt549/nybd1/NYBD1-A10_250nM_BT549_site4_TRITC_Day1.png,24.91,20.0,62.0,3.1
../data/png_converted/NCI Images/breast/bt549/nybd1/NYBD1-A10_250nM_BT549_site4_TRITC_Day2.png,19.89,16.0,40.0,2.5
../data/png_converted/NCI Images/breast/bt549/nybd1/NYBD1-A10_500nM_BT549_site1_FITC_Day0.png,19.78,13.0,58.0,4.462
../data/png_converted/NCI Images/breast/bt549/nybd1/NYBD1-A10_500nM_BT549_site1_FITC_Day1.png,9.85,7.0,26.0,3.714
../data/png_converted/NCI Images/breast/bt549/nybd1/NYBD1-A10_500nM_BT549_site1_FITC_Day2.png,21.49,15.0,56.0,3.733
../data/png_converted/NCI Images/breast/bt549/nybd1/NYBD1-A10_500nM_BT549_site1_TRITC_Day0.png,25.15,20.0,59.0,2.95
../data/png_converted/NCI Images/breast/bt549/nybd1/NYBD1-A10_500nM_BT549_site1_TRITC_Day1.png,14.96,13.0,29.0,2.231
../data/png_converted/NCI Images/breast/bt549/nybd1/NYBD1-A10_500nM_BT549_site1_TRITC_Day2.png,21.76,17.0,51.0,3.0
../data/png_converted/NCI Images/breast/bt549/nybd1/NYBD1-A10_500nM_BT549_site2_FITC_Day0.png,8.41,5.0,31.0,6.2
../data/png_converted/NCI Images/breast/bt549/nybd1/NYBD1-A10_500nM_BT549_site2_FITC_Day1.png,18.05,11.0,58.0,5.273
../data/png_converted/NCI Images/breast/bt549/nybd1/NYBD1-A10_500nM_BT549_site2_FITC_Day2.png,17.31,12.0,48.0,4.0
../data/png_converted/NCI Images/breast/bt549/nybd1/NYBD1-A10_500nM_BT549_site2_TRITC_Day0.png,6.55,4.0,20.0,5.0
../data/png_converted/NCI Images/breast/bt549/nybd1/NYBD1-A10_500nM_BT549_site2_TRITC_Day1.png,22.79,17.0,59.0,3.471
../data/png_converted/NCI Images/breast/bt549/nybd1/NYBD1-A10_500nM_BT549_site2_TRITC_Day2.png,19.92,15.0,49.0,3.267
../data/png_converted/NCI Images/breast/bt549/nybd1/NYBD1-A10_500nM_BT549_site3_FITC_Day0.png,19.17,14.0,53.0,3.786
../data/png_converted/NCI Images/breast/bt549/nybd1/NYBD1-A10_500nM_BT549_site3_FITC_Day1.png,20.26,12.0,65.0,5.417
../data/png_converted/NCI Images/breast/bt549/nybd1/NYBD1-A10_500nM_BT549_site3_FITC_Day2.png,19.99,13.0,61.0,4.692
../data/png_converted/NCI Images/breast/bt549/nybd1/NYBD1-A10_500nM_BT549_site3_TRITC_Day0.png,28.14,24.0,58.0,2.417
../data/png_converted/NCI Images/breast/bt549/nybd1/NYBD1-A10_500nM_BT549_site3_TRITC_Day1.png,25.12,18.0,66.0,3.667
../data/png_converted/NCI Images/breast/bt549/nybd1/NYBD1-A10_500nM_BT549_site3_TRITC_Day2.png,25.02,19.0,62.0,3.263
../data/png_converted/NCI Images/breast/bt549/nybd1/NYBD1-A10_500nM_BT549_site4_FITC_Day0.png,11.59,6.0,46.0,7.667
../data/png_converted/NCI Images/breast/bt549/nybd1/NYBD1-A10_500nM_BT549_site4_FITC_Day1.png,24.96,13.0,87.0,6.692
../data/png_converted/NCI Images/breast/bt549/nybd1/NYBD1-A10_500nM_BT549_site4_FITC_Day2.png,21.3,13.0,67.0,5.154
../data/png_converted/NCI Images/breast/bt549/nybd1/NYBD1-A10_500nM_BT549_site4_TRITC_Day0.png,13.5,9.0,42.0,4.667
../data/png_converted/NCI Images/breast/bt549/nybd1/NYBD1-A10_500nM_BT549_site4_TRITC_Day1.png,29.56,21.0,83.0,3.952
../data/png_converted/NCI Images/breast/bt549/nybd1/NYBD1-A10_500nM_BT549_site4_TRITC_Day2.png,27.28,22.0,65.0,2.955
../data/png_converted/NCI Images/breast/bt549/nybd1/NYBD1-A11_250nM_BT549_site1_FITC_Day0.png,49.89,50.0,68.0,1.36
../data/png_converted/NCI Images/breast/bt549/nybd1/NYBD1-A11_250nM_BT549_site1_FITC_Day1.png,40.07,38.0,59.0,1.553
../data/png_converted/NCI Images/breast/bt549/nybd1/NYBD1-A11_250nM_BT549_site1_FITC_Day2.png,69.74,68.0,100.0,1.471
../data/png_converted/NCI Images/breast/bt549/nybd1/NYBD1-A11_250nM_BT549_site1_TRITC_Day0.png,105.14,102.0,138.0,1.353
../data/png_converted/NCI Images/breast/bt549/nybd1/NYBD1-A11_250nM_BT549_site1_TRITC_Day1.png,98.74,98.0,131.0,1.337
../data/png_converted/NCI Images/breast/bt549/nybd1/NYBD1-A11_250nM_BT549_site1_TRITC_Day2.png,113.05,116.0,147.0,1.267
../data/png_converted/NCI Images/breast/bt549/nybd1/NYBD1-A11_250nM_BT549_site2_FITC_Day0.png,76.28,77.0,106.0,1.377
../data/png_converted/NCI Images/breast/bt549/nybd1/NYBD1-A11_250nM_BT549_site2_FITC_Day1.png,37.72,36.0,54.0,1.5
../data/png_converted/NCI Images/breast/bt549/nybd1/NYBD1-A11_250nM_BT549_site2_FITC_Day2.png,60.83,58.0,88.0,1.517
../data/png_converted/NCI Images/breast/bt549/nybd1/NYBD1-A11_250nM_BT549_site2_TRITC_Day0.png,109.91,108.0,147.0,1.361
../data/png_converted/NCI Images/breast/bt549/nybd1/NYBD1-A11_250nM_BT549_site2_TRITC_Day1.png,90.95,89.0,121.0,1.36
../data/png_converted/NCI Images/breast/bt549/nybd1/NYBD1-A11_250nM_BT549_site2_TRITC_Day2.png,107.58,108.0,147.0,1.361
../data/png_converted/NCI Images/breast/bt549/nybd1/NYBD1-A11_250nM_BT549_site3_FITC_Day0.png,76.49,78.0,99.0,1.269
../data/png_converted/NCI Images/breast/bt549/nybd1/NYBD1-A11_250nM_BT549_site3_FITC_Day1.png,56.9,56.0,87.0,1.554
../data/png_converted/NCI Images/breast/bt549/nybd1/NYBD1-A11_250nM_BT549_site3_FITC_Day2.png,78.83,78.0,113.0,1.449
../data/png_converted/NCI Images/breast/bt549/nybd1/NYBD1-A11_250nM_BT549_site3_TRITC_Day0.png,111.74,115.0,148.0,1.287
../data/png_converted/NCI Images/breast/bt549/nybd1/NYBD1-A11_250nM_BT549_site3_TRITC_Day1.png,111.12,112.0,150.0,1.339
../data/png_converted/NCI Images/breast/bt549/nybd1/NYBD1-A11_250nM_BT549_site3_TRITC_Day2.png,109.69,112.0,142.0,1.268
../data/png_converted/NCI Images/breast/bt549/nybd1/NYBD1-A11_250nM_BT549_site4_FITC_Day1.png,75.6,75.0,106.0,1.413
../data/png_converted/NCI Images/breast/bt549/nybd1/NYBD1-A11_250nM_BT549_site4_FITC_Day0.png,43.99,43.0,64.0,1.488
../data/png_converted/NCI Images/breast/bt549/nybd1/NYBD1-A11_250nM_BT549_site4_FITC_Day2.png,43.47,41.0,63.0,1.537
../data/png_converted/NCI Images/breast/bt549/nybd1/NYBD1-A11_250nM_BT549_site4_TRITC_Day0.png,99.66,98.0,135.0,1.378
../data/png_converted/NCI Images/breast/bt549/nybd1/NYBD1-A11_250nM_BT549_site4_TRITC_Day1.png,108.33,108.0,147.0,1.361
../data/png_converted/NCI Images/breast/bt549/nybd1/NYBD1-A11_250nM_BT549_site4_TRITC_Day2.png,97.74,94.0,128.0,1.362
